row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,shots,epochs,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
1087,True,BERT,avg,cosine_similarity,Ridge Regression,neural_course,test_df,42,0,0,2023-05-28 01:08:40,0.626984902535402,0.4971559444160971,2.058000085551388e-09,0.4806201550387597,0.6366300366300367,0.4664378337147215,0.5074407741074408,0.4806201550387597,0.4806201550387597,0.4806201550387597,0.5514779793849561,0.4806201550387597,0.4932312157118358
1088,True,BERT,avg,cosine_similarity,Ridge Regression,neural_course,validation_df,42,0,0,2023-05-28 01:08:40,0.6622374966759731,0.3773634547159306,0.0019430051020243,0.4307692307692308,0.2936507936507936,0.3260869565217391,0.3035201149425287,0.4307692307692308,0.4307692307692308,0.4307692307692307,0.4076190476190476,0.4307692307692308,0.4121021220159151
1089,True,BERT,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,train_df,42,0,0,2023-05-28 01:08:40,0.7927505503889546,0.3588927570914655,0.0,0.4522695278316783,0.4168329651294162,0.2353722754358752,0.246273870571711,0.4522695278316783,0.4522695278316783,0.4522695278316783,0.4777816596416817,0.4522695278316783,0.4476261449012118
1090,True,BERT,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,test_df,42,0,0,2023-05-28 01:08:40,0.7964685089006118,0.3566980569700127,3.4898544460808053e-224,0.4492676431424767,0.3808260337285648,0.2269498596546222,0.2324408672062024,0.4492676431424767,0.4492676431424767,0.4492676431424767,0.4640015898006083,0.4492676431424767,0.4419445272018301
1091,True,BERT,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation_df,42,0,0,2023-05-28 01:08:40,0.785363672912915,0.3569569734779198,3.0477766752002104e-113,0.4559254327563249,0.4718461325710512,0.2395738671235755,0.2532931216194921,0.4559254327563249,0.4559254327563249,0.4559254327563249,0.4883148052486466,0.4559254327563249,0.452449260351042
1092,True,BERT,avg,cosine_similarity,Linear Regression,concatenated_datasets,train_df,42,0,0,2023-05-28 01:08:41,0.8014499328820641,0.3310266859691981,0.0,0.4584712551839592,0.192117618762927,0.1963887945948238,0.191944536179843,0.4584712551839592,0.4584712551839592,0.4584712551839592,0.4615657418626511,0.4584712551839592,0.4548140303858709
1093,True,BERT,avg,cosine_similarity,Linear Regression,concatenated_datasets,test_df,42,0,0,2023-05-28 01:08:41,0.8025666192923088,0.3375277918180661,1.7361257081928385e-199,0.4569906790945406,0.1923833568075811,0.1976547246128127,0.1926394831580274,0.4569906790945406,0.4569906790945406,0.4569906790945406,0.4552660797977178,0.4569906790945406,0.4515813413509045
1094,True,BERT,avg,cosine_similarity,Linear Regression,concatenated_datasets,validation_df,42,0,0,2023-05-28 01:08:41,0.7907644412833164,0.3398724507244347,3.538163480935675e-102,0.459387483355526,0.1918213901117378,0.1977629909930538,0.1923125773312719,0.459387483355526,0.459387483355526,0.459387483355526,0.464153351889505,0.459387483355526,0.4565577379555274
1095,True,BERT,avg,cosine_similarity,Ridge Regression,concatenated_datasets,train_df,42,0,0,2023-05-28 01:08:41,0.801450189566686,0.3310266859691981,0.0,0.45843320777689,0.1921601125041988,0.1963995900729324,0.1919704022780837,0.45843320777689,0.45843320777689,0.45843320777689,0.461479603594923,0.45843320777689,0.4547531436030087
1096,True,BERT,avg,cosine_similarity,Ridge Regression,concatenated_datasets,test_df,42,0,0,2023-05-28 01:08:41,0.8025760865826465,0.3375277918180661,1.7361257081928385e-199,0.4568575233022636,0.1923261565479357,0.1975967233367846,0.1925873108968731,0.4568575233022636,0.4568575233022636,0.4568575233022636,0.4551069292665342,0.4568575233022636,0.4514493202233362
