row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,shots,epochs,finished_pred,last_pred_index,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
1428,True,BERT,add,cosine_similarity,Isotonic Regression,ASAP_sas,validation,42,0,0,True,1720,2023-05-29 16:51:17,0.8225596925293379,0.5000089374209136,1.5675272470147424e-109,0.3939570017431725,0.4812945312894838,0.3191978046155317,0.2855006511959688,0.3939570017431725,0.3939570017431725,0.3939570017431725,0.5242116534487876,0.3939570017431725,0.3727229354110733
1429,True,BERT,add,cosine_similarity,Linear Regression,ASAP_sas,validation,42,0,0,True,1720,2023-05-29 16:51:17,0.8535832555322034,0.4383103025534489,1.018381369986743e-81,0.3527019174898315,0.249336864580767,0.1980157195173668,0.1591091838697857,0.3527019174898315,0.3527019174898315,0.3527019174898315,0.5368943613370422,0.3527019174898315,0.3054506783127482
1430,True,BERT,add,cosine_similarity,Ridge Regression,ASAP_sas,validation,42,0,0,True,1720,2023-05-29 16:51:18,0.8535971342232412,0.4383103025534488,1.0183813699869746e-81,0.3515398024404416,0.2489233812355864,0.1975590985128006,0.1583424696075726,0.3515398024404416,0.3515398024404416,0.3515398024404416,0.5359441714606713,0.3515398024404416,0.3036105515864519
1431,True,BERT,add,cosine_similarity,Isotonic Regression,biology,validation,42,0,0,True,359,2023-05-29 16:51:18,0.530843565648487,0.5869463513812058,1.046235820281112e-34,0.8055555555555556,0.6031343843843844,0.4134716696139109,0.4446222485270869,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8052771521521522,0.8055555555555556,0.7987554969586689
1432,True,BERT,add,cosine_similarity,Linear Regression,biology,validation,42,0,0,True,359,2023-05-29 16:51:18,0.5920700231902412,0.4201271399871758,7.924988415577743e-17,0.8027777777777778,0.2463172043010753,0.258419540229885,0.2521666666666666,0.8027777777777778,0.8027777777777778,0.8027777777777778,0.7540322580645162,0.8027777777777778,0.7775925925925926
1433,True,BERT,add,cosine_similarity,Ridge Regression,biology,validation,42,0,0,True,359,2023-05-29 16:51:18,0.592290409358916,0.4201271399871757,7.924988415577743e-17,0.8027777777777778,0.2421500721500721,0.2514655172413793,0.2463744160977362,0.8027777777777778,0.8027777777777778,0.8027777777777778,0.7461600128266795,0.8027777777777778,0.7731384996207132
1434,True,BERT,add,cosine_similarity,Isotonic Regression,sciEntsBank,validation,42,0,0,True,1080,2023-05-29 16:51:18,0.4665800069335314,0.3316636184567454,3.607019909521706e-29,0.6392229417206291,0.6305505619865257,0.6089319884766624,0.6057459956458963,0.6392229417206291,0.6392229417206291,0.6392229417206291,0.6336278580212076,0.6392229417206291,0.6232815388278993
1435,True,BERT,add,cosine_similarity,Linear Regression,sciEntsBank,validation,42,0,0,True,1080,2023-05-29 16:51:18,0.4667758477217174,0.3317406221883546,3.4962332411059327e-29,0.6392229417206291,0.6303899418434376,0.6092211233151325,0.6062085276183644,0.6392229417206291,0.6392229417206291,0.6392229417206291,0.6335514276996991,0.6392229417206291,0.623612292240964
1436,True,BERT,add,cosine_similarity,Ridge Regression,sciEntsBank,validation,42,0,0,True,1080,2023-05-29 16:51:19,0.4668151428150209,0.3317406221883547,3.49623324110633e-29,0.6392229417206291,0.6305505619865257,0.6089319884766624,0.6057459956458963,0.6392229417206291,0.6392229417206291,0.6392229417206291,0.6336278580212076,0.6392229417206291,0.6232815388278993
1437,True,BERT,add,cosine_similarity,Isotonic Regression,neural_networks,validation,42,0,0,True,64,2023-05-29 16:51:19,0.6432707070247685,0.395553056618084,0.001109098298035,0.4923076923076923,0.6536331052460085,0.3971653878942882,0.4088815183342547,0.4923076923076923,0.4923076923076923,0.4923076923076923,0.5656515527483269,0.4923076923076923,0.4837947017051494
1438,True,BERT,add,cosine_similarity,Linear Regression,neural_networks,validation,42,0,0,True,64,2023-05-29 16:51:19,0.6607555739722628,0.3773631691461476,0.0019430217260966,0.4769230769230769,0.3166035353535353,0.3554987212276215,0.3323383084577114,0.4769230769230769,0.4769230769230769,0.4769230769230769,0.4386509324009324,0.4769230769230769,0.4538231917336395
1439,True,BERT,add,cosine_similarity,Ridge Regression,neural_networks,validation,42,0,0,True,64,2023-05-29 16:51:19,0.6622375275544995,0.3773631691461473,0.0019430217260967,0.4307692307692308,0.2936507936507936,0.3260869565217391,0.3035201149425287,0.4307692307692308,0.4307692307692308,0.4307692307692307,0.4076190476190476,0.4307692307692308,0.4121021220159151
1440,True,BERT,add,cosine_similarity,Isotonic Regression,english_language_arts,validation,42,0,0,True,362,2023-05-29 16:51:19,0.6939440204291503,0.3728981659284218,2.029634268328339e-13,0.5179063360881543,0.3972580971367485,0.4284193473732932,0.3754449607347627,0.5179063360881543,0.5179063360881543,0.5179063360881543,0.4841516013515982,0.5179063360881543,0.4557080060481648
